name,admission_no,class,section,roll,gender,dob,blood_group,religion,guardian_phone,father_name,mother_name,phone,email
সাঈদ ইবনে সিজন,,KG,A,1,Male,,,,01710000001,,,,
তাইয়্যেবা আক্তার,,KG,A,2,Female,,,,01710000002,,,,
মো: হামিম,,KG,A,3,Male,,,,01710000003,,,,
মীম আক্তার,,KG,A,4,Female,,,,01710000004,,,,
মো: মোজাম্মেল,,KG,A,5,Male,,,,01710000005,,,,
তাসকিন আহম্মেদ,,KG,A,6,Female,,,,01710000006,,,,
মোনাব্বির হোসেন,,KG,A,7,Male,,,,01710000007,,,,
পূর্ণতা ইসলাম মাহি,,KG,A,8,Female,,,,01710000008,,,,
আল ইব্রাহিম আলিফ,,KG,A,9,Male,,,,01710000009,,,,
আরিয়ান ইসলাম,,KG,A,10,Male,,,,01710000010,,,,
মো: সাদ্দাম হোসেন,,KG,A,11,Male,,,,01710000011,,,,
মো: মাহিদ হাসান,,KG,A,12,Male,,,,01710000012,,,,
শিশির আহম্মেদ,,KG,A,13,Female,,,,01710000013,,,,
সুমাইয়া আক্তার তহিমা,,KG,A,14,Female,,,,01710000014,,,,
বিদ্যাছা আক্তার তন্নিমা,,KG,A,15,Female,,,,01710000015,,,,
তানজিনা আক্তার রাইছা,,KG,A,16,Female,,,,01710000016,,,,
আব্দুল্লাহ আল রাহীম,,KG,A,17,Male,,,,01710000017,,,,
মো: আল-আমিন,,KG,A,18,Male,,,,01710000018,,,,
আরিফুল ইসলাম মুরাদ,,KG,A,19,Male,,,,01710000019,,,,
নূসরাত জাহান পূর্ণতা,,KG,A,20,Female,,,,01710000020,,,,
